ip,port,https,valid
186.46.3.238,45957,yes,False
203.113.103.54,8080,yes,False
177.66.52.128,48818,yes,False
1.20.100.165,61085,yes,False
167.99.91.117,3128,yes,False
202.79.56.90,23500,yes,False
213.128.162.118,8080,yes,False
191.242.182.132,8081,yes,False
110.232.89.38,35863,yes,False
62.182.206.19,37715,yes,False
191.7.192.59,56050,yes,False
103.9.190.206,44336,yes,False
186.211.106.227,34334,yes,False
128.199.209.96,3128,yes,False
186.225.106.114,33237,yes,False
1.20.101.24,34683,yes,False
102.176.197.253,50322,yes,False
94.153.194.14,41258,yes,False
154.66.241.27,52004,yes,False
93.43.75.194,54634,yes,False
91.139.1.158,37504,yes,False
151.252.72.211,53281,yes,False
1.20.101.124,55264,yes,False
1.215.70.130,44072,yes,
167.250.181.121,8080,yes,
104.236.48.178,8080,yes,
188.186.238.181,38191,yes,
103.124.144.154,80,yes,
183.88.213.25,32641,yes,
124.41.213.18,43646,yes,
109.110.73.106,59494,yes,
139.194.217.97,8080,yes,
181.211.245.74,30573,yes,
138.68.17.62,8888,yes,
103.16.63.125,59193,yes,
31.148.22.110,44723,yes,
114.31.15.174,8080,yes,
115.87.108.238,8118,yes,
181.52.238.165,44510,yes,
3.14.152.147,3128,yes,
208.123.76.34,8080,yes,
195.98.74.141,35123,yes,
194.88.251.18,37261,yes,
188.43.20.177,3128,yes,
202.186.198.195,3128,yes,
116.0.2.162,58389,yes,
196.41.24.244,49687,yes,
27.54.171.52,80,yes,
181.196.147.98,48463,yes,
119.82.253.47,39852,yes,
176.124.128.97,56595,yes,
213.91.187.242,51083,yes,
78.140.7.239,56809,yes,
197.232.47.83,56841,yes,
90.182.164.122,57408,yes,
203.77.252.250,37713,yes,
119.15.89.58,44358,yes,
94.244.191.219,3128,yes,
81.18.34.98,56197,yes,
71.183.120.13,8080,yes,
182.93.85.222,41593,yes,
139.162.85.37,3128,yes,
193.232.234.175,48784,yes,
13.209.26.248,80,yes,
45.64.179.115,53281,yes,
45.225.65.178,51252,yes,
177.46.147.89,36153,yes,
94.230.158.5,44337,yes,
80.249.229.64,53063,yes,
62.152.85.158,31156,yes,
36.230.189.157,8080,yes,
163.53.209.7,46612,yes,
103.47.93.102,8080,yes,
181.129.81.234,36480,yes,
95.46.225.63,54349,yes,
94.130.20.85,31288,yes,
96.74.27.161,32784,yes,
36.67.246.50,46342,yes,
176.37.50.238,40435,yes,
107.190.148.202,45883,yes,
52.38.5.232,8888,yes,
122.116.1.83,49972,yes,
91.102.231.146,4550,yes,
186.233.98.173,23500,yes,
134.119.214.203,1080,yes,
103.215.177.183,8080,yes,
68.183.239.165,8080,yes,
1.10.188.203,45476,yes,
167.249.248.18,3128,yes,
190.183.239.168,58904,yes,
196.0.109.146,35636,yes,
185.99.64.75,37761,yes,
173.249.47.138,3128,yes,
213.59.251.247,8080,yes,
197.232.16.104,32833,yes,
220.247.174.12,42406,yes,
43.245.187.34,44391,yes,
34.217.68.126,3128,yes,
14.192.27.177,58749,yes,
180.252.56.193,80,yes,
118.172.92.105,8080,yes,
195.98.78.180,50018,yes,
124.120.228.94,8118,yes,
36.67.89.179,65205,yes,
151.106.10.100,8080,yes,
46.148.141.43,41258,yes,
31.216.188.107,36996,yes,
103.75.27.138,55950,yes,
186.159.1.217,56992,yes,
103.220.207.242,37358,yes,
103.244.32.35,38476,yes,
95.217.44.145,8080,yes,
186.250.119.155,33803,yes,
200.122.209.78,53182,yes,
46.151.115.242,1080,yes,
103.23.103.203,51909,yes,
103.8.40.129,34210,yes,
85.52.217.114,40814,yes,
186.42.175.138,35420,yes,
113.53.60.20,8080,yes,
167.86.106.152,3128,yes,
181.129.52.186,55842,yes,
157.119.117.129,35522,yes,
159.192.97.181,23500,yes,
175.139.179.65,47445,yes,
81.200.63.108,60579,yes,
91.225.231.170,53281,yes,
197.216.2.12,8080,yes,
168.227.229.103,61359,yes,
68.183.179.97,80,yes,
202.3.72.50,56242,yes,
213.222.34.200,53281,yes,
212.5.106.146,8080,yes,
201.184.255.162,57288,yes,
81.163.36.210,34197,yes,
128.199.138.67,8118,yes,
31.3.90.241,37967,yes,
200.199.114.226,33932,yes,
187.102.60.124,8080,yes,
200.174.158.26,34112,yes,
18.191.148.72,3128,yes,
93.76.239.44,43823,yes,
